Date,Close,Open,High,Low,Vol,% Change
2012-05-29,431.44,431.75,432.91,429.11,47.68K,-0.93%
2012-05-30,435.34,433.29,437.31,432.39,49.05K,0.90%
2012-05-31,429.20,431.84,433.94,428.52,48.18K,-1.41%
2012-06-01,428.80,430.75,432.27,427.98,72.18K,-0.09%
2012-06-04,416.65,426.91,427.58,416.65,143.32K,-2.83%
2012-06-05,421.02,413.96,421.02,413.58,101.79K,1.05%
2012-06-06,426.39,421.09,427.17,420.81,91.50K,1.28%
2012-06-07,434.41,431.14,436.68,428.61,71.30K,1.88%
2012-06-08,432.90,439.02,441.46,432.90,82.63K,-0.35%
2012-06-11,432.50,432.15,435.86,430.28,68.13K,-0.09%
2012-06-12,428.16,432.89,432.89,428.04,57.13K,-1.00%
2012-06-13,427.61,429.73,429.73,424.86,84.09K,-0.13%
2012-06-14,425.28,425.74,428.59,424.05,46.93K,-0.54%
2012-06-15,433.09,425.62,433.09,425.62,72.65K,1.84%
2012-06-18,435.59,436.89,439.29,433.75,59.25K,0.58%
2012-06-19,431.08,434.04,435.11,430.23,68.59K,-1.04%
2012-06-20,432.89,431.80,434.16,429.20,34.00K,0.42%
2012-06-21,431.14,432.27,433.49,430.83,43.84K,-0.40%
2012-06-22,427.17,429.95,430.19,426.50,51.73K,-0.92%
2012-06-25,424.12,426.54,429.81,422.95,62.79K,-0.71%
2012-06-26,419.19,421.17,421.76,417.92,50.52K,-1.16%
2012-06-27,418.04,419.78,422.17,418.00,43.90K,-0.27%
2012-06-28,418.16,418.04,418.78,415.34,42.93K,0.03%
2012-06-29,422.37,420.76,422.37,418.49,55.76K,1.01%
2012-07-02,419.30,421.94,424.95,418.18,38.61K,-0.73%
2012-07-03,413.09,416.47,417.21,411.86,43.27K,-1.48%
2012-07-04,410.73,413.41,416.03,410.73,27.63K,-0.57%
2012-07-05,413.83,410.85,413.83,408.43,31.52K,0.75%
2012-07-06,415.44,414.01,417.97,413.53,43.33K,0.39%
2012-07-09,408.12,413.59,414.39,407.51,31.97K,-1.76%
2012-07-10,405.39,406.40,409.86,405.39,28.74K,-0.67%
2012-07-11,407.28,405.29,408.21,405.07,22.77K,0.47%
2012-07-12,408.72,406.50,409.70,406.18,43.56K,0.35%
2012-07-13,416.98,409.85,416.98,409.85,55.75K,2.02%
2012-07-16,413.98,417.54,418.78,413.28,41.74K,-0.72%
2012-07-17,417.55,411.72,418.50,411.72,48.14K,0.86%
2012-07-18,418.83,418.19,419.91,416.10,49.40K,0.31%
2012-07-19,428.38,417.77,428.38,417.77,84.90K,2.28%
2012-07-20,424.47,432.10,432.46,424.47,72.95K,-0.91%
2012-07-23,421.99,423.31,426.13,421.42,50.66K,-0.58%
2012-07-24,415.63,420.19,420.62,414.60,44.84K,-1.51%
2012-07-25,412.91,412.94,415.71,412.56,43.52K,-0.65%
2012-07-26,414.80,413.78,416.63,412.89,30.78K,0.46%
2012-07-27,413.16,416.43,417.68,412.47,38.35K,-0.40%
2012-07-30,415.00,410.57,415.31,410.08,26.69K,0.45%
2012-07-31,414.48,415.70,416.57,414.19,25.40K,-0.13%
2012-08-01,412.55,413.73,413.99,410.54,27.62K,-0.47%
2012-08-02,416.10,414.23,417.96,414.23,21.90K,0.86%
2012-08-03,418.21,417.63,419.26,417.09,24.18K,0.51%
2012-08-06,423.16,419.29,423.77,419.29,44.57K,1.18%
2012-08-07,422.50,423.72,425.46,422.44,33.16K,-0.16%
2012-08-08,423.57,422.74,424.52,421.31,23.80K,0.25%
2012-08-09,426.98,424.43,428.21,424.43,43.06K,0.81%
2012-08-10,425.56,427.49,427.93,425.06,37.45K,-0.33%
2012-08-13,426.17,423.79,426.38,423.44,29.84K,0.14%
2012-08-14,429.47,425.79,430.89,425.79,50.53K,0.77%
2012-08-15,430.77,429.96,432.44,429.96,39.64K,0.30%
2012-08-16,430.83,430.77,433.63,429.43,26.76K,0.01%
2012-08-17,433.45,430.83,434.72,430.83,37.82K,0.61%
2012-08-20,437.28,435.33,437.61,434.92,41.50K,0.88%
2012-08-21,416.84,430.79,430.79,416.23,70.06K,-4.67%
2012-08-22,410.23,404.22,413.42,404.17,74.16K,-1.59%
2012-08-23,392.82,400.03,400.07,391.54,38.83K,-4.24%
2012-08-24,399.72,379.45,402.22,378.17,94.64K,1.76%
2012-08-27,386.19,395.37,395.61,385.05,42.33K,-3.38%
2012-08-28,385.78,381.06,386.05,379.61,41.23K,-0.11%
2012-08-29,393.06,389.85,394.04,389.85,41.60K,1.89%
2012-08-30,397.25,394.90,399.44,393.37,39.04K,1.07%
2012-08-31,396.02,396.88,398.19,394.29,33.35K,-0.31%
2012-09-04,402.08,397.37,403.25,397.37,29.64K,1.53%
2012-09-05,398.92,402.56,404.87,396.31,45.71K,-0.79%
2012-09-06,393.41,396.41,398.77,393.41,33.45K,-1.38%
2012-09-07,397.51,395.25,397.51,392.56,33.47K,1.04%
2012-09-10,388.88,395.72,396.27,386.19,48.79K,-2.17%
2012-09-11,386.62,383.87,388.02,383.87,35.75K,-0.58%
2012-09-12,388.35,387.03,390.30,387.03,32.62K,0.45%
2012-09-13,391.36,388.55,391.36,387.68,37.26K,0.78%
2012-09-14,398.87,398.13,400.09,395.14,46.50K,1.92%
2012-09-17,401.75,400.55,405.27,400.07,38.89K,0.72%
2012-09-18,394.51,403.48,405.05,392.98,41.84K,-1.80%
2012-09-19,394.55,391.05,396.17,390.89,44.84K,0.01%
2012-09-20,389.28,393.05,393.42,385.90,58.64K,-1.34%
2012-09-21,395.48,391.00,395.55,391.00,101.29K,1.59%
2012-09-24,390.37,392.16,394.54,390.08,27.74K,-1.29%
2012-09-25,391.77,391.17,394.06,390.14,23.94K,0.36%
2012-09-26,395.12,392.51,397.86,392.51,23.83K,0.86%
2012-09-27,393.34,395.66,396.67,391.34,28.63K,-0.45%
2012-09-28,392.57,392.11,393.91,390.99,37.10K,-0.20%
2012-10-01,386.55,391.74,391.86,386.42,29.92K,-1.53%
2012-10-02,384.32,386.78,387.62,384.20,26.08K,-0.58%
2012-10-03,385.37,385.61,387.60,383.07,36.72K,0.27%
2012-10-04,384.51,385.68,386.66,383.62,25.98K,-0.22%
2012-10-05,388.16,384.78,388.16,384.65,27.64K,0.95%
2012-10-08,393.45,387.83,393.45,387.83,35.59K,1.36%
2012-10-09,393.67,394.36,394.87,392.26,38.75K,0.06%
2012-10-10,394.66,392.38,394.66,391.75,37.97K,0.25%
2012-10-11,394.19,395.32,397.55,393.87,45.28K,-0.12%
2012-10-12,392.54,394.17,395.01,392.26,55.38K,-0.42%
2012-10-15,391.56,392.88,394.19,390.72,36.04K,-0.25%
2012-10-16,399.22,392.60,399.22,392.60,41.18K,1.96%
2012-10-17,397.02,399.22,400.97,395.91,59.13K,-0.55%
2012-10-18,398.51,395.94,399.55,395.94,34.99K,0.38%
2012-10-19,398.23,399.52,400.46,394.98,52.60K,-0.07%
2012-10-22,397.00,397.77,398.34,394.69,45.95K,-0.31%
2012-10-23,397.71,397.27,399.22,395.89,35.30K,0.18%
2012-10-24,395.45,397.69,398.43,395.24,34.21K,-0.57%
2012-10-25,389.92,393.79,394.54,389.92,43.00K,-1.40%
2012-10-26,391.70,390.05,393.13,389.50,22.93K,0.46%
2012-10-29,391.36,390.96,392.60,390.63,29.76K,-0.09%
2012-10-30,389.86,391.13,392.17,389.64,23.08K,-0.38%
2012-10-31,388.42,388.50,390.05,387.39,57.63K,-0.37%
2012-11-01,387.95,388.10,389.74,387.95,46.10K,-0.12%
2012-11-02,375.26,378.74,380.33,374.98,59.15K,-3.27%
2012-11-05,377.27,372.39,378.45,372.39,30.99K,0.54%
2012-11-06,376.95,377.27,379.05,375.12,46.23K,-0.08%
2012-11-07,380.90,377.83,381.22,375.75,31.15K,1.05%
2012-11-08,385.60,380.32,385.60,380.13,23.29K,1.23%
2012-11-09,386.71,385.61,386.79,383.72,24.76K,0.29%
2012-11-12,388.62,386.71,388.94,385.66,41.91K,0.49%
2012-11-13,385.22,387.52,388.43,385.15,28.50K,-0.87%
2012-11-14,387.71,384.74,389.40,384.61,23.96K,0.65%
2012-11-15,386.91,389.84,390.65,386.60,28.76K,-0.21%
2012-11-16,385.71,385.83,386.25,383.16,22.58K,-0.31%
2012-11-19,383.32,384.83,386.22,382.42,22.55K,-0.62%
2012-11-20,385.10,383.23,385.37,381.84,24.47K,0.46%
2012-11-21,383.87,385.18,385.80,382.72,21.61K,-0.32%
2012-11-22,383.22,383.44,384.10,382.57,18.23K,-0.17%
2012-11-23,381.71,383.22,384.25,381.14,21.45K,-0.39%
2012-11-26,377.90,382.43,382.62,377.82,22.36K,-1.00%
2012-11-27,376.89,377.77,378.62,376.08,18.73K,-0.27%
2012-11-28,375.79,376.13,377.32,374.15,29.71K,-0.29%
2012-11-29,378.20,377.45,378.62,376.93,15.95K,0.64%
2012-11-30,377.82,380.01,380.18,377.52,45.54K,-0.10%
2012-12-03,379.27,377.94,379.27,375.78,21.90K,0.38%
2012-12-04,382.10,379.02,382.10,377.89,29.90K,0.75%
2012-12-05,385.69,382.10,387.05,382.10,40.54K,0.94%
2012-12-06,385.69,385.59,386.62,384.53,36.30K,0.00%
2012-12-07,383.80,386.44,386.60,383.80,33.52K,-0.49%
2012-12-10,386.69,384.84,387.67,383.53,44.50K,0.75%
2012-12-11,389.37,386.25,389.37,385.81,40.40K,0.69%
2012-12-12,391.08,388.41,393.13,386.46,47.17K,0.44%
2012-12-13,391.19,393.04,393.81,390.57,44.11K,0.03%
2012-12-14,392.21,392.23,394.61,392.05,43.16K,0.26%
2012-12-17,393.63,391.37,395.30,391.31,67.40K,0.36%
2012-12-18,393.39,396.21,396.45,392.34,52.37K,-0.06%
2012-12-19,398.59,395.84,398.59,395.34,72.58K,1.32%
2012-12-20,399.68,399.13,400.71,397.86,82.89K,0.27%
2012-12-21,396.78,397.49,400.27,394.27,76.82K,-0.73%
2012-12-24,399.71,397.25,400.22,396.57,73.07K,0.74%
2012-12-25,401.34,401.01,401.72,398.09,50.85K,0.41%
2012-12-26,406.10,399.43,406.10,398.31,59.62K,1.19%
2012-12-27,409.97,408.32,410.68,406.58,79.45K,0.95%
2012-12-28,413.73,409.49,413.73,408.32,84.32K,0.92%
2013-01-02,418.35,415.50,419.05,414.41,64.29K,1.12%
2013-01-03,419.27,420.68,420.68,413.68,99.83K,0.22%
2013-01-04,426.06,418.75,426.48,417.50,64.85K,1.62%
2013-01-07,434.19,428.53,434.64,426.86,78.32K,1.91%
2013-01-08,447.16,437.25,447.16,437.15,121.10K,2.99%
2013-01-09,448.77,447.16,457.75,442.26,134.77K,0.36%
2013-01-10,460.12,447.99,460.12,444.08,79.40K,2.53%
2013-01-11,462.69,468.39,469.16,461.74,75.12K,0.56%
2013-01-14,458.97,458.08,462.08,455.51,69.55K,-0.80%
2013-01-15,461.42,459.24,461.42,455.93,88.78K,0.53%
2013-01-16,465.25,462.17,470.34,462.17,96.57K,0.83%
2013-01-17,456.76,465.66,466.55,456.76,96.33K,-1.82%
2013-01-18,454.16,458.21,459.82,450.28,84.21K,-0.57%
2013-01-21,447.79,453.91,456.34,447.79,58.68K,-1.40%
2013-01-22,442.85,449.01,450.80,441.24,67.33K,-1.10%
2013-01-23,443.37,443.96,447.79,440.48,50.66K,0.12%
2013-01-24,452.40,444.34,452.40,444.19,49.81K,2.04%
2013-01-25,468.09,455.28,468.09,455.25,86.46K,3.47%
2013-01-28,479.60,474.27,485.67,474.27,107.36K,2.46%
2013-01-29,484.01,478.02,484.34,476.33,88.11K,0.92%
2013-01-30,487.60,486.67,490.89,482.76,83.26K,0.74%
2013-01-31,479.79,484.04,485.19,479.79,80.50K,-1.60%
2013-02-01,483.42,477.11,483.42,473.23,76.85K,0.76%
2013-02-04,482.38,487.06,488.96,482.38,56.88K,-0.22%
2013-02-05,477.36,481.82,482.56,477.36,63.41K,-1.04%
2013-02-06,488.36,479.62,488.62,479.62,65.15K,2.30%
2013-02-07,490.62,490.88,493.72,488.03,73.01K,0.46%
2013-02-08,494.03,491.85,495.72,489.64,60.72K,0.70%
2013-02-18,493.95,497.87,497.87,493.95,69.42K,-0.02%
2013-02-19,490.78,493.40,495.39,490.33,104.49K,-0.64%
2013-02-20,494.83,487.99,495.82,487.68,78.55K,0.83%
2013-02-21,476.73,494.83,497.70,476.73,123.31K,-3.66%
2013-02-22,477.69,482.03,487.11,470.23,107.35K,0.20%
2013-02-25,483.69,481.67,483.97,478.30,49.62K,1.26%
2013-02-26,465.05,482.50,482.50,463.64,93.97K,-3.85%
2013-02-27,465.72,465.89,467.50,459.64,71.44K,0.14%
2013-02-28,474.56,465.72,476.41,465.72,53.25K,1.90%
2013-03-01,477.15,476.51,480.39,475.46,55.93K,0.55%
2013-03-04,468.74,477.04,479.06,468.74,74.56K,-1.76%
2013-03-05,462.12,467.36,467.84,461.61,59.79K,-1.41%
2013-03-06,471.09,466.96,471.09,464.19,35.56K,1.94%
2013-03-07,466.63,470.73,472.54,466.63,46.95K,-0.95%
2013-03-08,470.68,468.10,471.75,468.10,31.77K,0.87%
2013-03-11,476.50,471.29,476.79,469.78,56.61K,1.24%
2013-03-12,475.34,475.23,478.67,470.51,60.26K,-0.24%
2013-03-13,473.18,476.43,478.05,471.85,50.26K,-0.45%
2013-03-14,474.60,471.63,474.60,470.81,46.72K,0.30%
2013-03-15,481.35,474.99,481.35,474.45,74.40K,1.42%
2013-03-18,479.13,481.53,482.59,478.54,49.14K,-0.46%
2013-03-19,480.48,478.45,482.21,477.55,35.32K,0.28%
2013-03-20,487.04,481.88,488.94,480.53,52.32K,1.37%
2013-03-21,491.79,488.64,494.57,488.43,57.18K,0.98%
2013-03-22,489.99,492.88,500.59,486.15,54.55K,-0.37%
2013-03-25,493.57,491.76,495.64,488.55,38.34K,0.73%
2013-03-26,489.46,494.19,496.32,489.14,47.04K,-0.83%
2013-03-27,491.26,489.30,492.46,485.34,38.97K,0.37%
2013-03-28,490.67,491.64,495.12,487.67,45.82K,-0.12%
2013-03-29,491.04,487.01,492.96,483.50,38.99K,0.08%
2013-04-01,505.81,490.66,505.81,489.90,55.43K,3.01%
2013-04-02,509.43,507.31,514.10,507.22,70.26K,0.72%
2013-04-03,505.93,509.29,511.59,502.38,57.12K,-0.69%
2013-04-04,497.35,505.54,506.63,497.35,52.18K,-1.70%
2013-04-05,502.58,501.16,503.36,497.83,48.75K,1.05%
2013-04-08,506.66,505.00,507.75,501.91,52.18K,0.81%
2013-04-09,510.49,505.09,512.85,504.16,60.76K,0.76%
2013-04-10,496.50,512.15,518.46,496.50,69.18K,-2.74%
2013-04-11,504.07,501.39,504.51,497.08,52.04K,1.52%
2013-04-12,494.27,505.37,505.90,490.82,52.31K,-1.94%
2013-04-15,480.02,491.65,491.77,478.80,54.83K,-2.88%
2013-04-16,478.07,475.07,479.97,466.56,58.21K,-0.41%
2013-04-17,483.99,482.17,483.99,476.53,30.05K,1.24%
2013-04-18,473.21,483.99,483.99,471.10,38.52K,-2.23%
2013-04-22,468.43,471.81,472.95,466.78,39.69K,-1.01%
2013-04-23,473.69,470.59,475.48,469.13,34.01K,1.12%
2013-04-24,472.89,474.48,475.75,472.89,32.85K,-0.17%
2013-04-25,476.59,474.87,477.80,474.29,37.11K,0.78%
2013-04-26,474.51,477.04,479.12,474.43,31.27K,-0.44%
2013-05-02,473.02,474.54,476.42,472.16,25.84K,-0.31%
2013-05-03,475.24,471.14,475.24,470.81,26.29K,0.47%
2013-05-06,488.32,478.94,488.32,478.94,52.99K,2.75%
2013-05-07,485.58,489.35,491.56,484.39,58.06K,-0.56%
2013-05-08,485.07,486.74,488.04,483.03,63.52K,-0.11%
2013-05-09,486.22,485.44,488.57,485.20,101.30K,0.24%
2013-05-10,486.10,488.10,490.76,484.75,85.57K,-0.02%
2013-05-13,488.93,486.96,490.38,486.96,45.49K,0.58%
2013-05-14,483.85,486.94,487.45,480.79,46.53K,-1.04%
2013-05-15,485.97,482.82,487.52,481.80,37.55K,0.44%
2013-05-16,490.34,486.00,491.44,485.28,49.81K,0.90%
2013-05-17,487.60,489.99,491.85,487.60,50.05K,-0.56%
2013-05-20,492.27,487.71,492.96,485.42,48.67K,0.96%
2013-05-21,500.18,496.09,502.60,495.95,88.74K,1.61%
2013-05-22,502.23,503.23,504.68,501.44,66.88K,0.41%
2013-05-23,498.22,501.15,506.58,498.22,80.02K,-0.80%
2013-05-24,500.24,498.77,503.60,495.96,62.52K,0.41%
2013-05-27,512.41,504.38,516.08,504.38,93.33K,2.43%
2013-05-28,516.33,515.62,517.97,512.81,87.43K,0.77%
2013-05-29,515.09,517.91,520.36,511.31,99.72K,-0.24%
2013-05-30,521.45,517.18,521.45,513.68,75.59K,1.23%
2013-05-31,518.39,526.58,526.58,518.39,150.13K,-0.59%
2013-06-03,517.03,518.30,521.35,516.64,75.93K,-0.26%
2013-06-04,510.69,517.03,521.96,510.69,78.93K,-1.23%
2013-06-05,514.64,512.37,514.64,508.86,56.29K,0.77%
2013-06-06,520.90,513.43,521.28,513.16,72.25K,1.22%
2013-06-07,527.97,523.21,527.97,523.19,74.55K,1.36%
2013-06-10,524.56,530.97,533.15,524.56,94.17K,-0.65%
2013-06-11,521.95,525.20,525.68,520.94,68.05K,-0.50%
2013-06-12,518.24,521.21,524.91,518.24,70.56K,-0.71%
2013-06-13,515.09,518.28,519.54,510.07,62.54K,-0.61%
2013-06-14,509.03,517.14,518.00,509.03,60.67K,-1.18%
2013-06-17,498.52,510.52,511.23,498.31,75.81K,-2.06%
2013-06-18,498.88,497.06,500.54,495.50,55.77K,0.07%
2013-06-19,503.37,501.58,504.11,500.61,43.06K,0.90%
2013-06-20,499.51,502.22,503.75,498.55,49.47K,-0.77%
2013-06-21,498.84,497.30,501.25,495.23,94.15K,-0.13%
2013-06-24,489.74,500.44,501.14,487.41,58.31K,-1.82%
2013-06-25,473.02,487.04,488.55,466.78,86.82K,-3.41%
2013-06-26,473.53,473.26,476.47,466.41,66.68K,0.11%
2013-06-27,482.95,476.33,482.95,475.00,46.02K,1.99%
2013-06-28,481.13,484.84,485.94,479.94,62.41K,-0.38%
2013-07-01,480.04,478.98,482.03,475.26,35.06K,-0.23%
2013-07-02,489.84,480.72,490.14,480.72,37.84K,2.04%
2013-07-03,487.35,489.84,492.93,487.11,45.91K,-0.51%
2013-07-04,487.22,489.23,490.65,486.49,39.43K,-0.03%
2013-07-05,485.66,488.06,489.99,485.22,38.32K,-0.32%
2013-07-08,482.77,485.24,485.95,480.58,40.65K,-0.60%
2013-07-09,485.50,483.96,485.50,481.14,29.84K,0.57%
2013-07-10,484.43,487.81,489.83,484.43,32.64K,-0.22%
2013-07-11,484.47,484.38,485.44,482.11,35.04K,0.01%
2013-07-12,493.99,485.14,493.99,485.13,51.91K,1.97%
2013-07-15,494.10,496.12,498.32,492.95,43.48K,0.02%
2013-07-16,496.22,494.66,497.83,493.74,42.32K,0.43%
2013-07-17,497.50,496.38,498.42,493.37,42.12K,0.26%
2013-07-18,496.84,495.68,500.51,494.23,53.15K,-0.13%
2013-07-19,503.76,499.64,505.38,499.28,48.11K,1.39%
2013-07-22,506.16,505.11,507.71,501.63,54.39K,0.48%
2013-07-23,504.29,506.16,508.64,504.22,53.03K,-0.37%
2013-07-24,494.18,503.67,504.27,493.36,60.42K,-2.00%
2013-07-25,491.78,493.75,495.85,491.71,42.25K,-0.49%
2013-07-26,493.93,493.50,495.16,487.92,43.41K,0.44%
2013-07-29,485.69,493.81,494.36,485.56,32.83K,-1.67%
2013-07-30,488.54,485.78,490.36,485.74,30.66K,0.59%
2013-07-31,491.85,488.10,493.10,487.10,41.62K,0.68%
2013-08-01,492.43,490.90,494.31,489.57,31.50K,0.12%
2013-08-02,494.66,493.33,495.71,493.02,26.27K,0.45%
2013-08-05,493.66,494.38,496.74,492.75,29.58K,-0.20%
2013-08-06,496.56,492.69,496.56,491.91,34.42K,0.59%
2013-08-07,500.10,496.95,502.26,495.02,40.45K,0.71%
2013-08-08,498.22,499.53,503.51,497.05,28.33K,-0.38%
2013-08-09,500.62,498.88,502.04,498.88,28.10K,0.48%
2013-08-12,499.46,501.35,501.39,497.53,31.95K,-0.23%
2013-08-13,497.73,499.46,502.63,497.40,36.52K,-0.35%
2013-08-14,503.57,498.51,503.89,496.35,35.78K,1.17%
2013-08-15,508.22,505.03,509.60,505.03,63.49K,0.92%
2013-08-16,507.79,508.22,510.22,505.48,60.58K,-0.08%
2013-08-19,511.02,507.27,513.34,507.16,61.78K,0.64%
2013-08-20,504.81,509.59,510.59,504.11,65.90K,-1.22%
2013-08-21,502.70,504.77,504.78,497.01,53.82K,-0.42%
2013-08-22,496.12,499.82,503.92,494.40,53.03K,-1.31%
2013-08-23,486.82,496.12,497.89,482.78,54.17K,-1.87%
2013-08-26,490.54,485.26,490.54,478.59,43.03K,0.76%
2013-08-27,485.57,488.23,489.89,485.57,27.83K,-1.01%
2013-08-28,473.30,482.48,482.48,470.29,69.27K,-2.53%
2013-08-29,468.55,473.33,477.09,468.55,39.84K,-1.00%
2013-08-30,472.70,469.64,472.70,462.13,35.50K,0.89%
2013-09-03,472.17,473.56,477.08,470.26,29.19K,-0.11%
2013-09-04,471.45,472.77,476.42,469.30,69.28K,-0.15%
2013-09-05,477.57,473.62,477.77,470.72,47.48K,1.30%
2013-09-06,480.03,479.18,480.55,475.16,46.82K,0.52%
2013-09-09,470.16,478.98,478.98,469.39,54.93K,-2.06%
2013-09-10,474.53,470.16,475.62,470.16,28.76K,0.93%
2013-09-11,476.40,474.53,478.95,473.68,33.57K,0.39%
2013-09-12,475.59,474.97,477.25,474.91,32.57K,-0.17%
2013-09-13,476.42,475.11,478.00,474.54,29.07K,0.17%
2013-09-16,475.57,478.32,478.70,473.97,38.47K,-0.18%
2013-09-17,477.73,476.21,480.16,475.82,39.15K,0.45%
2013-09-18,474.26,478.65,479.43,473.52,39.01K,-0.73%
2013-09-19,476.09,477.99,478.99,475.69,35.57K,0.39%
2013-09-20,477.19,476.12,477.19,474.70,84.26K,0.23%
2013-09-23,479.09,476.79,479.09,475.06,46.17K,0.40%
2013-09-24,482.82,478.88,483.78,478.85,82.40K,0.78%
2013-09-25,486.22,482.41,488.98,482.41,80.66K,0.70%
2013-09-26,485.11,486.28,487.88,482.61,49.67K,-0.23%
2013-09-27,486.61,484.68,487.82,483.85,47.13K,0.31%
2013-09-30,492.63,487.12,492.65,486.70,68.46K,1.24%
2013-10-01,492.24,491.92,496.59,491.34,102.08K,-0.08%
2013-10-02,494.39,492.58,496.86,492.58,77.33K,0.44%
2013-10-03,492.30,495.00,495.00,491.59,62.67K,-0.42%
2013-10-04,497.50,492.17,497.73,490.43,59.72K,1.06%
2013-10-07,500.47,497.45,502.16,496.92,72.10K,0.60%
2013-10-08,502.22,500.53,502.64,497.58,72.19K,0.35%
2013-10-09,500.67,501.28,502.52,498.98,64.40K,-0.31%
2013-10-10,494.81,500.34,501.64,494.81,66.51K,-1.17%
2013-10-11,494.53,496.71,498.58,494.53,53.53K,-0.06%
2013-10-14,493.62,494.31,495.67,492.81,38.40K,-0.18%
2013-10-15,495.72,493.03,495.72,492.37,50.45K,0.43%
2013-10-16,498.96,495.59,500.60,495.02,69.93K,0.65%
2013-10-17,499.59,501.88,502.64,498.83,64.10K,0.13%
2013-10-18,500.83,499.89,501.39,497.91,69.75K,0.25%
2013-10-21,501.57,501.80,503.72,500.25,112.33K,0.15%
2013-10-22,500.57,500.94,502.95,498.74,74.97K,-0.20%
2013-10-23,504.05,501.41,504.81,501.41,82.43K,0.70%
2013-10-24,501.17,503.47,505.74,500.64,86.40K,-0.57%
2013-10-25,500.75,502.80,503.17,499.53,74.17K,-0.08%
2013-10-28,496.46,501.27,501.86,496.46,73.72K,-0.86%
2013-10-29,497.08,494.66,497.74,494.01,57.87K,0.12%
2013-10-30,499.07,498.00,500.97,497.95,48.37K,0.40%
2013-10-31,497.41,500.04,500.59,497.41,43.35K,-0.33%
2013-11-01,497.08,499.21,499.27,496.93,42.53K,-0.07%
2013-11-04,497.07,497.25,498.49,495.68,65.13K,0.00%
2013-11-05,499.79,497.38,500.28,495.84,75.86K,0.55%
2013-11-06,502.52,500.83,502.52,499.58,81.85K,0.55%
2013-11-07,499.86,501.40,503.30,499.29,106.54K,-0.53%
2013-11-08,498.61,498.80,500.47,498.33,72.79K,-0.25%
2013-11-11,501.08,498.03,501.08,497.41,93.28K,0.50%
2013-11-12,497.65,500.81,501.36,496.79,121.98K,-0.68%
2013-11-13,496.12,496.90,498.62,495.68,64.53K,-0.31%
2013-11-14,497.85,496.67,498.82,496.12,65.07K,0.35%
2013-11-15,501.34,497.88,502.12,497.72,91.22K,0.70%
2013-11-18,506.48,503.33,507.41,503.33,115.88K,1.03%
2013-11-19,504.71,505.45,507.63,504.71,96.55K,-0.35%
2013-11-20,505.52,504.68,505.75,502.98,107.16K,0.16%
2013-11-21,503.54,507.00,510.21,503.54,173.94K,-0.39%
2013-11-22,505.64,504.52,506.46,502.83,106.38K,0.42%
2013-11-25,506.46,506.94,509.72,506.08,97.38K,0.16%
2013-11-26,509.16,506.98,510.75,504.65,93.48K,0.53%
2013-11-27,508.43,510.96,513.25,507.66,102.74K,-0.14%
2013-11-28,507.71,508.53,509.15,506.99,82.13K,-0.14%
2013-11-29,507.78,507.42,508.78,506.05,101.25K,0.01%
2013-12-02,508.53,509.13,509.48,507.10,77.69K,0.15%
2013-12-03,511.62,508.13,514.83,508.13,125.50K,0.61%
2013-12-04,510.88,512.01,513.40,510.66,111.83K,-0.14%
2013-12-05,510.03,510.39,512.21,507.52,103.88K,-0.17%
2013-12-06,510.12,510.03,512.37,509.76,78.64K,0.02%
2013-12-09,511.23,514.13,514.13,510.94,102.31K,0.22%
2013-12-10,511.60,512.10,513.83,510.24,80.98K,0.07%
2013-12-11,505.31,511.74,511.81,504.90,103.54K,-1.23%
2013-12-12,506.92,503.77,507.68,503.76,80.16K,0.32%
2013-12-13,506.06,507.07,509.35,505.49,67.67K,-0.17%
2013-12-16,502.04,503.46,506.52,502.04,62.70K,-0.79%
2013-12-17,505.67,503.24,505.67,502.20,73.60K,0.72%
2013-12-18,505.25,505.10,506.11,503.66,62.33K,-0.08%
2013-12-19,506.28,505.90,508.04,504.92,111.08K,0.20%
2013-12-20,504.45,507.39,508.29,504.45,142.43K,-0.36%
2013-12-23,508.68,506.60,509.41,505.73,108.21K,0.84%
2013-12-24,505.62,508.61,509.54,505.62,91.41K,-0.60%
2013-12-25,504.42,506.37,506.53,503.03,73.61K,-0.24%
2013-12-26,506.55,504.41,507.57,503.59,82.92K,0.42%
2013-12-27,506.41,507.08,510.09,506.41,73.74K,-0.03%
2013-12-30,500.35,506.35,507.02,500.35,94.29K,-1.20%
2013-12-31,504.63,500.04,506.44,499.49,60.92K,0.86%
2014-01-02,504.51,505.61,506.71,503.04,57.72K,-0.02%
2014-01-03,505.37,504.41,506.28,503.94,55.60K,0.17%
2014-01-06,509.10,505.74,509.10,504.28,68.74K,0.74%
2014-01-07,510.12,510.84,513.00,509.87,74.36K,0.20%
2014-01-08,513.90,511.03,514.20,509.01,70.30K,0.74%
2014-01-09,516.98,513.66,516.98,513.52,91.49K,0.60%
2014-01-10,518.94,518.33,523.06,518.24,107.18K,0.38%
2014-01-13,521.11,519.31,522.32,518.78,71.99K,0.42%
2014-01-14,522.31,521.13,524.59,520.63,94.87K,0.23%
2014-01-15,526.68,523.72,527.09,522.45,127.58K,0.84%
2014-01-16,533.54,528.83,533.54,527.90,97.75K,1.30%
2014-01-17,543.59,536.81,549.88,536.81,118.07K,1.88%
2014-01-20,553.67,548.22,559.93,548.22,105.72K,1.85%
2014-01-21,559.91,555.72,560.18,547.65,100.92K,1.13%
